Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
Cu3Pd_SG187_0001_4_bridge2-s    2.672    2.693    0.94    2.78    7.0    2    -1.591    1.445    5.098    8.337    0.562    9.244    0.696    2.2    0.843    0.155    this work
Cu3Pd_SG187_0001_4_bridge2-t-1    2.672    2.635    0.67    1.0    9.0    2    -2.277    0.927    5.098    7.726    1.236    9.678    1.18    1.9    0.101    0.226    this work
Cu3Pd_SG187_0001_4_bridge2-t-2    2.672    2.725    0.94    2.78    9.0    2    -1.709    1.596    5.098    8.337    0.562    9.198    0.791    2.2    0.975    0.11    this work
Cu3Pd_SG187_0001_4_fcc-s    2.672    2.715    0.94    2.78    8.333    3    -1.669    1.546    5.098    8.337    0.562    9.213    0.759    2.2    0.931    0.125    this work
Cu3Pd_SG187_0001_4_fcc-t    2.672    2.64    0.67    1.0    9.333    3    -2.267    0.962    5.098    7.726    1.236    9.659    1.198    1.9    0.11    0.227    this work
Cu3Pd_SG187_0001_4_four-fold-s    2.672    2.672    0.805    1.89    8.5    4    -1.919    1.239    5.098    8.031    0.899    9.432    0.966    2.05    0.486    0.192    this work
Cu3Pd_SG187_0001_4_hcp-s    2.672    2.704    0.94    2.78    7.667    3    -1.63    1.495    5.098    8.337    0.562    9.228    0.728    2.2    0.887    0.14    this work
Cu3Pd_SG187_0001_4_hcp-t    2.672    2.645    0.67    1.0    9.667    3    -2.258    0.998    5.098    7.726    1.236    9.64    1.217    1.9    0.12    0.228    this work
Cu3Pd_SG187_0001_4_top-s    2.672    2.693    0.94    2.78    7.0    1    -1.591    1.445    5.098    8.337    0.562    9.244    0.696    2.2    0.843    0.155    this work
Cu3Pd_SG187_0001_4_top-t    2.672    2.635    0.67    1.0    9.0    1    -2.277    0.927    5.098    7.726    1.236    9.678    1.18    1.9    0.101    0.226    this work
Cu3Pt_SG187_0001_1_bridge1-s    2.684    2.663    0.67    1.0    8.0    2    -1.979    0.992    5.535    7.726    1.236    9.793    1.167    1.9    0.109    0.228    this work
Cu3Pt_SG187_0001_1_bridge1-t    2.684    2.712    1.04    3.9    9.5    2    -2.16    2.317    5.535    8.959    2.125    8.867    1.209    2.28    0.568    0.111    this work
Cu3Pt_SG187_0001_1_bridge2-s    2.684    2.658    0.67    1.0    7.0    2    -1.908    0.968    5.535    7.726    1.236    9.833    1.097    1.9    0.11    0.228    this work
Cu3Pt_SG187_0001_1_bridge2-t-1    2.684    2.697    1.04    3.9    9.0    2    -2.135    2.302    5.535    8.959    2.125    8.834    1.201    2.28    0.586    0.111    this work
Cu3Pt_SG187_0001_1_bridge2-t-2    2.684    2.667    0.67    1.0    9.0    2    -2.05    1.016    5.535    7.726    1.236    9.752    1.237    1.9    0.109    0.228    this work
Cu3Pt_SG187_0001_1_fcc-s    2.684    2.664    0.67    1.0    8.333    3    -2.003    1.0    5.535    7.726    1.236    9.779    1.19    1.9    0.109    0.228    this work
Cu3Pt_SG187_0001_1_fcc-t    2.684    2.707    1.04    3.9    9.333    3    -2.152    2.312    5.535    8.959    2.125    8.856    1.206    2.28    0.574    0.111    this work
Cu3Pt_SG187_0001_1_four-fold-s    2.684    2.693    0.855    2.45    8.5    4    -2.047    1.65    5.535    8.342    1.68    9.366    1.158    2.09    0.33    0.169    this work
Cu3Pt_SG187_0001_1_hcp-s    2.684    2.661    0.67    1.0    7.667    3    -1.956    0.984    5.535    7.726    1.236    9.806    1.144    1.9    0.11    0.228    this work
Cu3Pt_SG187_0001_1_hcp-t    2.684    2.717    1.04    3.9    9.667    3    -2.168    2.322    5.535    8.959    2.125    8.878    1.212    2.28    0.562    0.111    this work
Cu3Pt_SG187_0001_1_top-s    2.684    2.658    0.67    1.0    7.0    1    -1.908    0.968    5.535    7.726    1.236    9.833    1.097    1.9    0.11    0.228    this work
Cu3Pt_SG187_0001_1_top-t    2.684    2.697    1.04    3.9    9.0    1    -2.135    2.302    5.535    8.959    2.125    8.834    1.201    2.28    0.586    0.111    this work
Cu3Pt_SG187_0001_2_bridge1-s    2.684    2.599    0.67    1.0    8.0    2    -2.319    0.916    4.74    7.726    1.236    9.804    1.193    1.9    0.086    0.311    this work
Cu3Pt_SG187_0001_2_bridge1-t    2.684    2.713    0.67    1.0    9.5    2    -2.074    0.962    4.74    7.726    1.236    9.771    1.205    1.9    0.099    0.208    this work
Cu3Pt_SG187_0001_2_bridge2-s    2.684    2.588    0.67    1.0    7.0    2    -2.234    0.881    4.74    7.726    1.236    9.809    1.128    1.9    0.086    0.317    this work
Cu3Pt_SG187_0001_2_bridge2-t-1    2.684    2.712    0.67    1.0    9.0    2    -2.01    0.947    4.74    7.726    1.236    9.735    1.179    1.9    0.103    0.209    this work
Cu3Pt_SG187_0001_2_bridge2-t-2    2.684    2.61    0.67    1.0    9.0    2    -2.404    0.952    4.74    7.726    1.236    9.799    1.258    1.9    0.085    0.306    this work
Cu3Pt_SG187_0001_2_fcc-s    2.684    2.602    0.67    1.0    8.333    3    -2.347    0.928    4.74    7.726    1.236    9.802    1.215    1.9    0.086    0.309    this work
Cu3Pt_SG187_0001_2_fcc-t    2.684    2.713    0.67    1.0    9.333    3    -2.053    0.957    4.74    7.726    1.236    9.759    1.196    1.9    0.1    0.208    this work
Cu3Pt_SG187_0001_2_four-fold-s    2.684    2.651    0.67    1.0    8.5    4    -2.187    0.929    4.74    7.726    1.236    9.808    1.18    1.9    0.09    0.261    this work
Cu3Pt_SG187_0001_2_hcp-s    2.684    2.595    0.67    1.0    7.667    3    -2.291    0.904    4.74    7.726    1.236    9.806    1.171    1.9    0.086    0.313    this work
Cu3Pt_SG187_0001_2_hcp-t    2.684    2.713    0.67    1.0    9.667    3    -2.096    0.967    4.74    7.726    1.236    9.783    1.214    1.9    0.097    0.207    this work
Cu3Pt_SG187_0001_2_top-s    2.684    2.588    0.67    1.0    7.0    1    -2.234    0.881    4.74    7.726    1.236    9.809    1.128    1.9    0.086    0.317    this work
Cu3Pt_SG187_0001_2_top-t    2.684    2.712    0.67    1.0    9.0    1    -2.01    0.947    4.74    7.726    1.236    9.735    1.179    1.9    0.103    0.209    this work
Cu3Pt_SG187_0001_3_bridge1-s    2.684    2.599    0.67    1.0    8.0    2    -2.294    0.917    4.692    7.726    1.236    9.887    1.188    1.9    0.09    0.289    this work
Cu3Pt_SG187_0001_3_bridge1-t    2.684    2.659    0.67    1.0    9.5    2    -2.335    0.921    4.692    7.726    1.236    9.718    1.213    1.9    0.09    0.264    this work
Cu3Pt_SG187_0001_3_bridge2-s    2.684    2.591    0.67    1.0    7.0    2    -2.221    0.885    4.692    7.726    1.236    9.888    1.118    1.9    0.091    0.301    this work
Cu3Pt_SG187_0001_3_bridge2-t-1    2.684    2.655    0.67    1.0    9.0    2    -2.314    0.9    4.692    7.726    1.236    9.789    1.185    1.9    0.09    0.268    this work
Cu3Pt_SG187_0001_3_bridge2-t-2    2.684    2.608    0.67    1.0    9.0    2    -2.366    0.95    4.692    7.726    1.236    9.885    1.259    1.9    0.09    0.278    this work
Cu3Pt_SG187_0001_3_fcc-s    2.684    2.602    0.67    1.0    8.333    3    -2.318    0.928    4.692    7.726    1.236    9.886    1.212    1.9    0.09    0.285    this work
Cu3Pt_SG187_0001_3_fcc-t    2.684    2.658    0.67    1.0    9.333    3    -2.328    0.914    4.692    7.726    1.236    9.742    1.204    1.9    0.09    0.265    this work
Cu3Pt_SG187_0001_3_four-fold-s    2.684    2.627    0.67    1.0    8.5    4    -2.288    0.914    4.692    7.726    1.236    9.767    1.179    1.9    0.091    0.28    this work
Cu3Pt_SG187_0001_3_hcp-s    2.684    2.597    0.67    1.0    7.667    3    -2.27    0.907    4.692    7.726    1.236    9.887    1.165    1.9    0.091    0.293    this work
Cu3Pt_SG187_0001_3_hcp-t    2.684    2.66    0.67    1.0    9.667    3    -2.342    0.929    4.692    7.726    1.236    9.694    1.222    1.9    0.09    0.262    this work
Cu3Pt_SG187_0001_3_top-s    2.684    2.591    0.67    1.0    7.0    1    -2.221    0.885    4.692    7.726    1.236    9.888    1.118    1.9    0.091    0.301    this work
Cu3Pt_SG187_0001_3_top-t    2.684    2.655    0.67    1.0    9.0    1    -2.314    0.9    4.692    7.726    1.236    9.789    1.185    1.9    0.09    0.268    this work
Cu3Pt_SG187_0001_4_bridge1-s    2.684    2.699    1.04    3.9    8.0    2    -1.93    2.124    5.539    8.959    2.125    8.949    1.128    2.28    0.908    0.16    this work
Cu3Pt_SG187_0001_4_bridge1-t    2.684    2.655    0.67    1.0    9.5    2    -2.244    0.97    5.539    7.726    1.236    9.773    1.225    1.9    0.131    0.253    this work
Cu3Pt_SG187_0001_4_bridge2-s    2.684    2.682    1.04    3.9    7.0    2    -1.812    2.009    5.539    8.959    2.125    8.97    1.077    2.28    0.913    0.22    this work
Cu3Pt_SG187_0001_4_bridge2-t-1    2.684    2.641    0.67    1.0    9.0    2    -2.251    0.907    5.539    7.726    1.236    9.733    1.184    1.9    0.106    0.241    this work
Cu3Pt_SG187_0001_4_bridge2-t-2    2.684    2.716    1.04    3.9    9.0    2    -2.048    2.239    5.539    8.959    2.125    8.929    1.179    2.28    0.903    0.1    this work
Cu3Pt_SG187_0001_4_fcc-s    2.684    2.705    1.04    3.9    8.333    3    -1.969    2.162    5.539    8.959    2.125    8.943    1.145    2.28    0.906    0.14    this work
Cu3Pt_SG187_0001_4_fcc-t    2.684    2.65    0.67    1.0    9.333    3    -2.247    0.949    5.539    7.726    1.236    9.759    1.212    1.9    0.122    0.249    this work
Cu3Pt_SG187_0001_4_four-fold-s    2.684    2.675    0.855    2.45    8.5    4    -2.025    1.52    5.539    8.342    1.68    9.391    1.172    2.09    0.534    0.243    this work
Cu3Pt_SG187_0001_4_hcp-s    2.684    2.693    1.04    3.9    7.667    3    -1.891    2.086    5.539    8.959    2.125    8.956    1.111    2.28    0.91    0.18    this work
Cu3Pt_SG187_0001_4_hcp-t    2.684    2.659    0.67    1.0    9.667    3    -2.242    0.99    5.539    7.726    1.236    9.786    1.239    1.9    0.139    0.257    this work
Cu3Pt_SG187_0001_4_top-s    2.684    2.682    1.04    3.9    7.0    1    -1.812    2.009    5.539    8.959    2.125    8.97    1.077    2.28    0.913    0.22    this work
Cu3Pt_SG187_0001_4_top-t    2.684    2.641    0.67    1.0    9.0    1    -2.251    0.907    5.539    7.726    1.236    9.733    1.184    1.9    0.106    0.241    this work
CuPd_SG164_0001_1_bridge1-s    2.725    2.784    0.94    2.78    8.0    2    -1.574    1.34    5.227    8.337    0.562    9.32    0.728    2.2    1.541    0.131    this work
CuPd_SG164_0001_1_bridge1-t    2.725    2.724    0.94    2.78    9.5    2    -1.878    1.615    5.227    8.337    0.562    9.18    0.816    2.2    0.923    0.106    this work
CuPd_SG164_0001_1_bridge2-s    2.725    2.778    0.94    2.78    7.0    2    -1.505    1.262    5.227    8.337    0.562    9.308    0.673    2.2    1.496    0.134    this work
CuPd_SG164_0001_1_bridge2-t-1    2.725    2.714    0.94    2.78    9.0    2    -1.836    1.594    5.227    8.337    0.562    9.174    0.79    2.2    0.89    0.105    this work
CuPd_SG164_0001_1_bridge2-t-2    2.725    2.79    0.94    2.78    9.0    2    -1.643    1.419    5.227    8.337    0.562    9.333    0.783    2.2    1.586    0.127    this work
CuPd_SG164_0001_1_fcc-s    2.725    2.786    0.94    2.78    8.333    3    -1.597    1.366    5.227    8.337    0.562    9.325    0.746    2.2    1.556    0.13    this work
CuPd_SG164_0001_1_fcc-t    2.725    2.721    0.94    2.78    9.333    3    -1.864    1.608    5.227    8.337    0.562    9.178    0.807    2.2    0.912    0.106    this work
CuPd_SG164_0001_1_four-fold-s    2.725    2.757    0.94    2.78    8.5    4    -1.713    1.449    5.227    8.337    0.562    9.247    0.757    2.2    1.226    0.12    this work
CuPd_SG164_0001_1_hcp-s    2.725    2.782    0.94    2.78    7.667    3    -1.551    1.314    5.227    8.337    0.562    9.316    0.709    2.2    1.526    0.132    this work
CuPd_SG164_0001_1_hcp-t    2.725    2.728    0.94    2.78    9.667    3    -1.893    1.622    5.227    8.337    0.562    9.182    0.825    2.2    0.934    0.106    this work
CuPd_SG164_0001_1_top-s    2.725    2.778    0.94    2.78    7.0    1    -1.505    1.262    5.227    8.337    0.562    9.308    0.673    2.2    1.496    0.134    this work
CuPd_SG164_0001_1_top-t    2.725    2.714    0.94    2.78    9.0    1    -1.836    1.594    5.227    8.337    0.562    9.174    0.79    2.2    0.89    0.105    this work
CuPd_SG164_0001_2_bridge1-s    2.725    2.652    0.67    1.0    8.0    2    -1.85    0.946    5.096    7.726    1.236    9.819    1.133    1.9    0.097    0.187    this work
CuPd_SG164_0001_2_bridge1-t    2.725    2.788    0.94    2.78    9.5    2    -1.728    1.469    5.096    8.337    0.562    9.257    0.803    2.2    1.104    0.117    this work
CuPd_SG164_0001_2_bridge2-s    2.725    2.651    0.67    1.0    7.0    2    -1.751    0.908    5.096    7.726    1.236    9.818    1.057    1.9    0.107    0.194    this work
CuPd_SG164_0001_2_bridge2-t-1    2.725    2.778    0.94    2.78    9.0    2    -1.729    1.45    5.096    8.337    0.562    9.226    0.784    2.2    1.182    0.125    this work
CuPd_SG164_0001_2_bridge2-t-2    2.725    2.653    0.67    1.0    9.0    2    -1.949    0.984    5.096    7.726    1.236    9.821    1.209    1.9    0.088    0.181    this work
CuPd_SG164_0001_2_fcc-s    2.725    2.652    0.67    1.0    8.333    3    -1.883    0.959    5.096    7.726    1.236    9.82    1.158    1.9    0.094    0.185    this work
CuPd_SG164_0001_2_fcc-t    2.725    2.785    0.94    2.78    9.333    3    -1.728    1.463    5.096    8.337    0.562    9.247    0.796    2.2    1.13    0.12    this work
CuPd_SG164_0001_2_four-fold-s    2.725    2.725    0.805    1.89    8.5    4    -1.739    1.199    5.096    8.031    0.899    9.553    0.94    2.05    0.566    0.152    this work
CuPd_SG164_0001_2_hcp-s    2.725    2.652    0.67    1.0    7.667    3    -1.817    0.933    5.096    7.726    1.236    9.819    1.108    1.9    0.101    0.19    this work
CuPd_SG164_0001_2_hcp-t    2.725    2.792    0.94    2.78    9.667    3    -1.727    1.476    5.096    8.337    0.562    9.268    0.809    2.2    1.078    0.115    this work
CuPd_SG164_0001_2_top-s    2.725    2.651    0.67    1.0    7.0    1    -1.751    0.908    5.096    7.726    1.236    9.818    1.057    1.9    0.107    0.194    this work
CuPd_SG164_0001_2_top-t    2.725    2.778    0.94    2.78    9.0    1    -1.729    1.45    5.096    8.337    0.562    9.226    0.784    2.2    1.182    0.125    this work
CuPd_SG164_0001_3_bridge1-s    2.725    2.614    0.67    1.0    8.0    2    -2.232    0.919    4.708    7.726    1.236    9.808    1.168    1.9    0.071    0.262    this work
CuPd_SG164_0001_3_bridge1-t    2.725    2.716    0.67    1.0    9.5    2    -1.899    0.934    4.708    7.726    1.236    9.811    1.16    1.9    0.089    0.161    this work
CuPd_SG164_0001_3_bridge2-s    2.725    2.604    0.67    1.0    7.0    2    -2.146    0.893    4.708    7.726    1.236    9.816    1.108    1.9    0.07    0.26    this work
CuPd_SG164_0001_3_bridge2-t-1    2.725    2.715    0.67    1.0    9.0    2    -1.831    0.915    4.708    7.726    1.236    9.834    1.132    1.9    0.091    0.162    this work
CuPd_SG164_0001_3_bridge2-t-2    2.725    2.624    0.67    1.0    9.0    2    -2.318    0.944    4.708    7.726    1.236    9.8    1.228    1.9    0.072    0.264    this work
CuPd_SG164_0001_3_fcc-s    2.725    2.617    0.67    1.0    8.333    3    -2.261    0.927    4.708    7.726    1.236    9.805    1.188    1.9    0.071    0.263    this work
CuPd_SG164_0001_3_fcc-t    2.725    2.715    0.67    1.0    9.333    3    -1.876    0.927    4.708    7.726    1.236    9.818    1.15    1.9    0.089    0.162    this work
CuPd_SG164_0001_3_four-fold-s    2.725    2.661    0.67    1.0    8.5    4    -2.057    0.922    4.708    7.726    1.236    9.802    1.147    1.9    0.079    0.21    this work
CuPd_SG164_0001_3_hcp-s    2.725    2.611    0.67    1.0    7.667    3    -2.204    0.91    4.708    7.726    1.236    9.811    1.148    1.9    0.071    0.261    this work
CuPd_SG164_0001_3_hcp-t    2.725    2.716    0.67    1.0    9.667    3    -1.921    0.94    4.708    7.726    1.236    9.803    1.169    1.9    0.088    0.161    this work
CuPd_SG164_0001_3_top-s    2.725    2.604    0.67    1.0    7.0    1    -2.146    0.893    4.708    7.726    1.236    9.816    1.108    1.9    0.07    0.26    this work
CuPd_SG164_0001_3_top-t    2.725    2.715    0.67    1.0    9.0    1    -1.831    0.915    4.708    7.726    1.236    9.834    1.132    1.9    0.091    0.162    this work
CuPd_SG164_0001_4_bridge1-s    2.725    2.723    0.94    2.78    8.0    2    -1.609    1.46    5.103    8.337    0.562    9.314    0.75    2.2    0.996    0.13    this work
CuPd_SG164_0001_4_bridge1-t    2.725    2.674    0.67    1.0    9.5    2    -2.157    0.969    5.103    7.726    1.236    9.825    1.185    1.9    0.095    0.22    this work
CuPd_SG164_0001_4_bridge2-s    2.725    2.708    0.94    2.78    7.0    2    -1.539    1.398    5.103    8.337    0.562    9.386    0.698    2.2    0.945    0.151    this work
CuPd_SG164_0001_4_bridge2-t-1    2.725    2.668    0.67    1.0    9.0    2    -2.172    0.949    5.103    7.726    1.236    9.859    1.162    1.9    0.078    0.232    this work
CuPd_SG164_0001_4_bridge2-t-2    2.725    2.738    0.94    2.78    9.0    2    -1.678    1.523    5.103    8.337    0.562    9.242    0.801    2.2    1.047    0.11    this work
CuPd_SG164_0001_4_fcc-s    2.725    2.728    0.94    2.78    8.333    3    -1.632    1.481    5.103    8.337    0.562    9.29    0.767    2.2    1.013    0.124    this work
